,index,words,he,she,total,pct_she,pct_he
0,0,wept,0,19,19,100,0
1,1,sobbed,3,24,27,88.88888889,11.11111111
2,2,realized,3,20,23,86.95652174,13.04347826
4,4,moaned,6,16,22,72.72727273,27.27272727
5,5,flushed,8,16,24,66.66666667,33.33333333
6,6,be,7,13,20,65,35
7,7,whispered,34,60,94,63.82978723,36.17021277
8,8,burst,17,28,45,62.22222222,37.77777778
9,9,murmured,30,49,79,62.02531646,37.97468354
10,10,bade,8,13,21,61.9047619,38.0952381
11,11,sighed,15,24,39,61.53846154,38.46153846
12,12,blushed,11,17,28,60.71428571,39.28571429
13,13,recalled,8,12,20,60,40
14,14,dont,8,11,19,57.89473684,42.10526316
15,15,moved,9,12,21,57.14285714,42.85714286
16,16,cared,16,21,37,56.75675676,43.24324324
19,19,gives,18,23,41,56.09756098,43.90243902
21,21,sprang,16,20,36,55.55555556,44.44444444
22,22,begged,8,10,18,55.55555556,44.44444444
23,23,slipped,9,11,20,55,45
24,24,sank,23,28,51,54.90196078,45.09803922
26,26,dared,20,24,44,54.54545455,45.45454545
27,27,desired,11,13,24,54.16666667,45.83333333
28,28,puts,11,13,24,54.16666667,45.83333333
29,29,cried,176,201,377,53.31564987,46.68435013
30,30,recognised,15,17,32,53.125,46.875
31,31,followed,16,18,34,52.94117647,47.05882353
33,33,flung,28,30,58,51.72413793,48.27586207
34,34,wore,75,80,155,51.61290323,48.38709677
35,35,accepted,16,17,33,51.51515152,48.48484848
36,36,pulled,14,14,28,50,50
37,37,want,9,9,18,50,50
39,39,feared,13,13,26,50,50
40,40,interrupted,10,10,20,50,50
41,41,takes,32,31,63,49.20634921,50.79365079
42,42,caught,25,24,49,48.97959184,51.02040816
43,43,refused,24,23,47,48.93617021,51.06382979
44,44,shook,47,44,91,48.35164835,51.64835165
45,45,retorted,13,12,25,48,52
46,46,do,12,11,23,47.82608696,52.17391304
47,47,bent,22,20,42,47.61904762,52.38095238
48,48,paid,11,10,21,47.61904762,52.38095238
49,49,noticed,32,29,61,47.54098361,52.45901639
50,50,ran,21,19,40,47.5,52.5
51,51,supposed,10,9,19,47.36842105,52.63157895
52,52,smiled,114,102,216,47.22222222,52.77777778
53,53,stood,73,65,138,47.10144928,52.89855072
54,54,rose,26,23,49,46.93877551,53.06122449
55,55,wished,74,65,139,46.76258993,53.23741007
56,56,hated,51,44,95,46.31578947,53.68421053
57,57,heard,86,74,160,46.25,53.75
58,58,does,50,43,93,46.23655914,53.76344086
59,59,listened,21,18,39,46.15384615,53.84615385
60,60,hid,13,11,24,45.83333333,54.16666667
61,61,lifted,19,16,35,45.71428571,54.28571429
62,62,wouldnt,35,29,64,45.3125,54.6875
63,63,started,29,24,53,45.28301887,54.71698113
64,64,glanced,23,19,42,45.23809524,54.76190476
65,65,hoped,23,19,42,45.23809524,54.76190476
66,66,didnt,73,60,133,45.11278195,54.88721805
68,68,stepped,16,13,29,44.82758621,55.17241379
69,69,gave,240,193,433,44.57274827,55.42725173
70,70,addressed,10,8,18,44.44444444,55.55555556
71,71,lay,29,23,52,44.23076923,55.76923077
72,72,remarked,28,22,50,44,56
73,73,exclaimed,13,10,23,43.47826087,56.52173913
74,74,laughed,86,66,152,43.42105263,56.57894737
75,75,fancied,21,16,37,43.24324324,56.75675676
77,77,added,37,28,65,43.07692308,56.92307692
78,78,come,12,9,21,42.85714286,57.14285714
79,79,uttered,12,9,21,42.85714286,57.14285714
80,80,treated,16,12,28,42.85714286,57.14285714
81,81,watched,47,35,82,42.68292683,57.31707317
82,82,cant,34,25,59,42.37288136,57.62711864
83,83,reminded,15,11,26,42.30769231,57.69230769
84,84,needed,15,11,26,42.30769231,57.69230769
85,85,determined,11,8,19,42.10526316,57.89473684
86,86,thinks,22,16,38,42.10526316,57.89473684
87,87,loved,124,90,214,42.05607477,57.94392523
88,88,said,1481,1070,2551,41.94433555,58.05566445
89,89,passed,57,41,98,41.83673469,58.16326531
91,91,placed,14,10,24,41.66666667,58.33333333
93,93,makes,17,12,29,41.37931034,58.62068966
94,94,looked,532,375,907,41.34509372,58.65490628
95,95,brought,30,21,51,41.17647059,58.82352941
96,96,replied,63,44,107,41.12149533,58.87850467
97,97,put,154,106,260,40.76923077,59.23076923
98,98,turned,194,133,327,40.67278287,59.32721713
99,99,shuddered,19,13,32,40.625,59.375
100,100,stopped,57,39,96,40.625,59.375
101,101,wondered,82,56,138,40.57971014,59.42028986
102,102,gasped,15,10,25,40,60
103,103,let,21,14,35,40,60
104,104,met,27,18,45,40,60
105,105,drew,41,27,68,39.70588235,60.29411765
106,106,must,233,152,385,39.48051948,60.51948052
107,107,looks,46,30,76,39.47368421,60.52631579
108,108,raised,20,13,33,39.39393939,60.60606061
109,109,asked,429,278,707,39.32107496,60.67892504
110,110,carried,17,11,28,39.28571429,60.71428571
111,111,answered,301,193,494,39.06882591,60.93117409
112,112,groaned,11,7,18,38.88888889,61.11111111
113,113,learned,11,7,18,38.88888889,61.11111111
114,114,hesitated,41,26,67,38.80597015,61.19402985
115,115,leaned,30,19,49,38.7755102,61.2244898
116,116,chose,19,12,31,38.70967742,61.29032258
117,117,bore,16,10,26,38.46153846,61.53846154
118,118,stretched,24,15,39,38.46153846,61.53846154
119,119,knew,450,281,731,38.44049248,61.55950752
120,120,saw,359,222,581,38.20998279,61.79001721
121,121,lived,38,23,61,37.70491803,62.29508197
122,122,tried,91,55,146,37.67123288,62.32876712
123,123,held,83,50,133,37.59398496,62.40601504
124,124,would,907,541,1448,37.36187845,62.63812155
125,125,liked,69,41,110,37.27272727,62.72727273
126,126,need,17,10,27,37.03703704,62.96296296
127,127,felt,460,270,730,36.98630137,63.01369863
128,128,might,212,124,336,36.9047619,63.0952381
129,129,always,60,35,95,36.84210526,63.15789474
130,130,broke,24,14,38,36.84210526,63.15789474
131,131,kept,48,28,76,36.84210526,63.15789474
132,132,clenched,12,7,19,36.84210526,63.15789474
133,133,thought,385,224,609,36.7816092,63.2183908
134,134,did,712,407,1119,36.3717605,63.6282395
135,135,wrote,51,29,80,36.25,63.75
136,136,had,3421,1930,5351,36.06802467,63.93197533
137,137,managed,16,9,25,36,64
138,138,discovered,18,10,28,35.71428571,64.28571429
140,140,made,247,137,384,35.67708333,64.32291667
141,141,ate,20,11,31,35.48387097,64.51612903
142,142,opened,50,27,77,35.06493506,64.93506494
143,143,repeated,50,27,77,35.06493506,64.93506494
146,146,got,145,78,223,34.97757848,65.02242152
147,147,spoke,175,94,269,34.94423792,65.05576208
148,148,wasnt,28,15,43,34.88372093,65.11627907
149,149,expected,30,16,46,34.7826087,65.2173913
150,150,called,64,34,98,34.69387755,65.30612245
151,151,forced,32,17,49,34.69387755,65.30612245
152,152,could,1171,622,1793,34.69046291,65.30953709
153,153,set,51,27,78,34.61538462,65.38461538
154,154,is,306,162,468,34.61538462,65.38461538
155,155,were,121,64,185,34.59459459,65.40540541
156,156,sent,38,20,58,34.48275862,65.51724138
157,157,wants,71,37,108,34.25925926,65.74074074
158,158,understood,25,13,38,34.21052632,65.78947368
159,159,used,56,29,85,34.11764706,65.88235294
160,160,began,155,80,235,34.04255319,65.95744681
161,161,was,4138,2134,6272,34.02423469,65.97576531
162,162,returned,35,18,53,33.96226415,66.03773585
163,163,couldnt,41,21,62,33.87096774,66.12903226
164,164,went,424,217,641,33.85335413,66.14664587
165,165,threw,43,22,65,33.84615385,66.15384615
166,166,closed,16,8,24,33.33333333,66.66666667
167,167,dreaded,14,7,21,33.33333333,66.66666667
168,168,feels,12,6,18,33.33333333,66.66666667
169,169,meant,64,32,96,33.33333333,66.66666667
170,170,think,12,6,18,33.33333333,66.66666667
171,171,goes,64,32,96,33.33333333,66.66666667
174,174,found,233,116,349,33.23782235,66.76217765
175,175,remembered,99,49,148,33.10810811,66.89189189
176,176,told,224,110,334,32.93413174,67.06586826
177,177,has,285,139,424,32.78301887,67.21698113
178,178,ought,39,19,58,32.75862069,67.24137931
179,179,came,257,125,382,32.72251309,67.27748691
180,180,walked,140,68,208,32.69230769,67.30769231
181,181,realised,31,15,46,32.60869565,67.39130435
182,182,kissed,61,29,90,32.22222222,67.77777778
183,183,seized,19,9,28,32.14285714,67.85714286
184,184,stared,32,15,47,31.91489362,68.08510638
185,185,considered,15,7,22,31.81818182,68.18181818
186,186,wears,13,6,19,31.57894737,68.42105263
187,187,read,78,36,114,31.57894737,68.42105263
188,188,remained,39,18,57,31.57894737,68.42105263
189,189,loves,26,12,38,31.57894737,68.42105263
190,190,rang,13,6,19,31.57894737,68.42105263
191,191,should,217,99,316,31.32911392,68.67088608
192,192,can,101,46,147,31.29251701,68.70748299
193,193,took,347,158,505,31.28712871,68.71287129
194,194,doesnt,79,35,114,30.70175439,69.29824561
195,195,poured,25,11,36,30.55555556,69.44444444
196,196,waited,48,21,69,30.43478261,69.56521739
197,197,despised,16,7,23,30.43478261,69.56521739
198,198,seemed,180,78,258,30.23255814,69.76744186
199,199,wanted,232,100,332,30.12048193,69.87951807
200,200,merely,14,6,20,30,70
201,201,sought,49,21,70,30,70
202,202,explained,14,6,20,30,70
203,203,fell,40,17,57,29.8245614,70.1754386
204,204,knows,40,17,57,29.8245614,70.1754386
205,205,left,76,32,108,29.62962963,70.37037037
206,206,gets,19,8,27,29.62962963,70.37037037
207,207,pressed,24,10,34,29.41176471,70.58823529
209,209,worked,17,7,24,29.16666667,70.83333333
210,210,forgot,17,7,24,29.16666667,70.83333333
211,211,led,22,9,31,29.03225806,70.96774194
214,214,says,62,25,87,28.73563218,71.26436782
215,215,comes,30,12,42,28.57142857,71.42857143
216,216,lit,13,5,18,27.77777778,72.22222222
217,217,longed,13,5,18,27.77777778,72.22222222
218,218,means,13,5,18,27.77777778,72.22222222
219,219,talked,81,31,112,27.67857143,72.32142857
220,220,wont,42,16,58,27.5862069,72.4137931
221,221,finished,21,8,29,27.5862069,72.4137931
222,222,spent,45,17,62,27.41935484,72.58064516
223,223,believed,16,6,22,27.27272727,72.72727273
224,224,shrugged,38,14,52,26.92307692,73.07692308
225,225,promised,19,7,26,26.92307692,73.07692308
226,226,muttered,38,14,52,26.92307692,73.07692308
227,227,married,25,9,34,26.47058824,73.52941176
228,228,nodded,25,9,34,26.47058824,73.52941176
229,229,admired,17,6,23,26.08695652,73.91304348
230,230,awoke,26,9,35,25.71428571,74.28571429
231,231,received,26,9,35,25.71428571,74.28571429
232,232,say,29,10,39,25.64102564,74.35897436
233,233,showed,59,20,79,25.3164557,74.6835443
234,234,grew,57,19,76,25,75
235,235,insisted,36,12,48,25,75
236,236,became,36,12,48,25,75
237,237,isnt,24,8,32,25,75
238,238,pointed,24,8,32,25,75
239,239,ever,19,6,25,24,76
240,240,just,16,5,21,23.80952381,76.19047619
241,241,continued,16,5,21,23.80952381,76.19047619
242,242,imagined,16,5,21,23.80952381,76.19047619
244,244,entered,37,11,48,22.91666667,77.08333333
245,245,loathed,17,5,22,22.72727273,77.27272727
246,246,pushed,17,5,22,22.72727273,77.27272727
247,247,reached,24,7,31,22.58064516,77.41935484
248,248,will,86,25,111,22.52252252,77.47747748
249,249,died,45,13,58,22.4137931,77.5862069
250,250,have,14,4,18,22.22222222,77.77777778
251,251,paused,53,15,68,22.05882353,77.94117647
252,252,appeared,26,7,33,21.21212121,78.78787879
253,253,lives,19,5,24,20.83333333,79.16666667
254,254,owed,16,4,20,20,80
255,255,shouted,16,4,20,20,80
256,256,offered,24,6,30,20,80
257,257,played,24,6,30,20,80
258,258,suffered,25,6,31,19.35483871,80.64516129
259,259,slept,21,5,26,19.23076923,80.76923077
260,260,drank,30,7,37,18.91891892,81.08108108
261,261,arrived,26,6,32,18.75,81.25
262,262,sees,19,4,23,17.39130435,82.60869565
263,263,suggested,30,6,36,16.66666667,83.33333333
264,264,seems,26,5,31,16.12903226,83.87096774
265,265,knocked,16,3,19,15.78947368,84.21052632
266,266,waved,16,3,19,15.78947368,84.21052632
267,267,lost,23,4,27,14.81481481,85.18518519
268,268,proposed,20,3,23,13.04347826,86.95652174
269,269,wandered,20,3,23,13.04347826,86.95652174
270,270,described,20,2,22,9.090909091,90.90909091
271,271,chuckled,17,1,18,5.555555556,94.44444444
272,272,rubbed,18,1,19,5.263157895,94.73684211
273,273,jumped,18,1,19,5.263157895,94.73684211
275,275,painted,19,0,19,0,100
276,276,cursed,18,0,18,0,100
277,277,rim,18,0,18,0,100